path	baseline_git_blob	worktree_git_blob	state
src/components/collaborative-mode-indicator.tsx	-	f23b41fe0e80dfd02350c4121a2c4b8cbe6a9fc8	new
src/components/convex-client-provider.tsx	0510942ccd65de654e4ccb8928fc7a589a2b4c50	-	removed
src/components/fullscreen-loader.tsx	1b7bb8721689d7e78a74d239700a4861ba303b14	6c7444b010fd58885739c1b841eaedcf94b183ab	changed
src/components/remove-dialog.tsx	ad5f565350003267a24f16d30c81e436c1f9573e	be4683618ef8e63ce8202ea1bffb3790d5451cc6	changed
src/components/rename-dialog.tsx	3ccb2aaf05d02de2b69fff4935638e24b4b2c1ba	20c485cbc160480fa36248017df20f0d85cb3fd7	changed
src/components/save-status-indicator.tsx	-	5f1149eea4db91626ab7318f9df723140ab22db8	new
src/components/ui/accordion.tsx	2f55a32f4d374342e6aa22e0fee985e9e60c1a3c	-	removed
src/components/ui/alert-dialog.tsx	57760f2ee48c8b165fe72fee64542d3d90eec97d	57760f2ee48c8b165fe72fee64542d3d90eec97d	identical
src/components/ui/alert.tsx	5afd41d142c95c74069ebb5460117e74ead3b9df	-	removed
src/components/ui/aspect-ratio.tsx	d6a5226f5e9cc09a2bd1ccbce465524e41f04345	-	removed
src/components/ui/avatar.tsx	51e507ba9d08bcdbb1fb630498f1cbdf2bf50093	-	removed
src/components/ui/badge.tsx	e87d62bf1a2b2a0e1cf0b0dc94c2836525f40b67	-	removed
src/components/ui/breadcrumb.tsx	60e6c96f72f0350d08b47e4730cab8f3975dc853	-	removed
src/components/ui/button.tsx	65d4fcd9ca74240125c5f72cf84c873781141fea	65d4fcd9ca74240125c5f72cf84c873781141fea	identical
src/components/ui/calendar.tsx	bc8941091d81a5f425cc80aa8e976bb520e56786	-	removed
src/components/ui/card.tsx	cabfbfc59d955db9efc2049783cad4a71db55442	-	removed
src/components/ui/carousel.tsx	ec505d00d95ecdbbc1501d1bfa7020e51d6010a7	7883f533292847d91378975f04c24f41758a939f	changed
src/components/ui/chart.tsx	32dc873f363cb707ab3cd8d37e14e03771f095d2	-	removed
src/components/ui/checkbox.tsx	c6fdd071b5d4133824ae4d805a3034132830a1b2	-	removed
src/components/ui/collapsible.tsx	9fa48946afd1eb56bd932377fd888e3986304676	-	removed
src/components/ui/command.tsx	2cecd9104b27be82d238aa2f1cbb351e05446af7	-	removed
src/components/ui/context-menu.tsx	f7257a6debca6874f15cfb9f30f9422396029e85	-	removed
src/components/ui/dialog.tsx	1647513eced8f9e788c0e8b63c99654d3a542a9c	1647513eced8f9e788c0e8b63c99654d3a542a9c	identical
src/components/ui/drawer.tsx	6a0ef53dde8991d3adeadd791cd262808aaf9ac0	-	removed
src/components/ui/dropdown-menu.tsx	082639fb59551c8354fb8e8bab136b75c116020c	082639fb59551c8354fb8e8bab136b75c116020c	identical
src/components/ui/form.tsx	b6daa654a177fa31b3d84e1af645ba874fc43762	-	removed
src/components/ui/hover-card.tsx	e54d91cf81f48462887825698166393764c4251f	-	removed
src/components/ui/input-otp.tsx	eb2a1baea86131ee3101b11b6334a95f3f06dfdc	-	removed
src/components/ui/input.tsx	69b64fb2455114c3eeda2d18741af0027b3c5e89	69b64fb2455114c3eeda2d18741af0027b3c5e89	identical
src/components/ui/label.tsx	534182176bf87f9308355514adc884d2b69750a5	-	removed
src/components/ui/menubar.tsx	126091b30a5a952199b61472b26f9e6e20091ca6	126091b30a5a952199b61472b26f9e6e20091ca6	identical
src/components/ui/navigation-menu.tsx	a5d4d27d3463c43c6fa5c5cd025debf35b370fd9	-	removed
src/components/ui/pagination.tsx	d3311054cd07a90d130f7996c79b3fc0feeede39	-	removed
src/components/ui/popover.tsx	29c7bd2a443213fffbb4038587997ad01b205383	-	removed
src/components/ui/progress.tsx	4fc3b473e6f51afa972f840fb0f4476f8663c256	-	removed
src/components/ui/radio-group.tsx	0bdf6853fccc6ba250ce89d78a4f5b72b7347279	-	removed
src/components/ui/resizable.tsx	f4bc5586b67f45d3cc35f228e8bac2e4bc2cea16	-	removed
src/components/ui/scroll-area.tsx	0b4a48d87fabda1c6e9612172abb56a78e26c14f	-	removed
src/components/ui/select.tsx	0cbf77d15a58d50d81e3976596064cdfb61337b1	-	removed
src/components/ui/separator.tsx	12d81c4a853472948b6dd2e85eff99b5d12fe60b	12d81c4a853472948b6dd2e85eff99b5d12fe60b	identical
src/components/ui/sheet.tsx	272cb721eb48b7a5833ccd51f940a8830d85b64e	-	removed
src/components/ui/sidebar.tsx	eeb2d7aebcf77d22605587c4055cde9cd351b5ef	-	removed
src/components/ui/skeleton.tsx	d7e45f7bd315f86eabf32f2c9425223417920e60	-	removed
src/components/ui/slider.tsx	ab19d576f0013b65004f5f5f39e0bfad584a08fa	-	removed
src/components/ui/sonner.tsx	452f4d9f0dde88611113632c1d759d60155fe4d3	452f4d9f0dde88611113632c1d759d60155fe4d3	identical
src/components/ui/switch.tsx	5f4117f0f242bc03d8372e6380389bb4bf88cb79	-	removed
src/components/ui/table.tsx	c0df655c0bf26af1148d038e1d013e884663b240	c0df655c0bf26af1148d038e1d013e884663b240	identical
src/components/ui/tabs.tsx	0f4caebb1170ec24e5acab012544ccedb09b15a2	-	removed
src/components/ui/textarea.tsx	e56b0affd7e03bd8359092a81d81c606ab09972d	-	removed
src/components/ui/toast.tsx	40ac9ddb7d514986f33383dd42c206ab1d4f1b8b	-	removed
src/components/ui/toaster.tsx	171beb46d9c020c1be1ee9cb260b816d0bc2c1dd	-	removed
src/components/ui/toggle-group.tsx	1c876bbeecabe59b684719afe58e684f34cdecbf	-	removed
src/components/ui/toggle.tsx	db35d78be41228d233334289527c20d09f5a4c54	-	removed
src/components/ui/tooltip.tsx	a66b3f22019c44e790760ecd218c288eac2af7eb	-	removed
src/constants/margins.ts	f0652932698675e026716855b99a9aa692e5b05d	f0652932698675e026716855b99a9aa692e5b05d	identical
src/constants/templates.ts	17bb13c147e4c14ba1c30e228043aa08132065c5	51d70c8fc9190e44383b8c2e253b49d25b35fcb3	changed
src/extensions/font-size.ts	691fe9b10a1e6910c1bb5454453de395eb004e6d	691fe9b10a1e6910c1bb5454453de395eb004e6d	identical
src/extensions/line-height.ts	8ee0a7cb08e52376ce96b3e5e85ce06ae4e86fce	8ee0a7cb08e52376ce96b3e5e85ce06ae4e86fce	identical
src/hooks/use-debounce.ts	bfe046f5512555544462c11073417f42f4ae99c7	3c871fda94dea014d378cc0169be110dd72b7a53	changed
src/hooks/use-mobile.tsx	2b0fe1dfef3b17850bbac040665f514a8ffd0f15	-	removed
src/hooks/use-search-param.ts	ac2c6a574d98c5336babba4e10bbfdf5daf8cdbd	ac2c6a574d98c5336babba4e10bbfdf5daf8cdbd	identical
src/hooks/use-toast.ts	a8b931a08236dbe5e2e8e712c8e754f643a28169	-	removed
src/lib/collaboration/connection-status.ts	-	a1438b185fa33b79f66cbff341dc9beebfac373a	new
src/lib/collaboration/content.ts	-	5176d539d5d96454d1aa27d51d59a9d990f1aaab	new
src/lib/collaboration/provider.tsx	-	39143f2eb3f98a7b40c9eae6f23b8777b737f7a0	new
src/lib/collaboration/save-status.ts	-	78d293a95f3e60067c5afc98e1a18df4f2883d3c	new
src/lib/collaboration/types.ts	-	cfd941af15812a289dd5177d704053e700950198	new
src/lib/crdt/adapter.ts	-	869d747c88e60a0f7869f51c9a723cc2aba904de	new
src/lib/crdt/editor-bridge.ts	-	324e0a8b515d82e125d393c858204487f8e9e72c	new
src/lib/crdt/pm-model.ts	-	eecb92dfb6fcc041d51a39b7b3e72773b18a2c86	new
src/lib/crdt/runtime.ts	-	e0bf88dd9f494f5839e1bf1f4cfad9b39c9ff2d2	new
src/lib/crdt/wasm-types.ts	-	e665bc5787f7d8bcfc40c7b4410725481474ab12	new
src/lib/crdt/worker/client.ts	-	20e32c3e1a3209b6ed9e792050b9712cd1476151	new
src/lib/crdt/worker/core.ts	-	bc6128c82fb2ae14657bda2a031bead0aed77770	new
src/lib/crdt/worker/crdt-worker.ts	-	c70c1b1fa2551d6ba09f9ed67605ee077021bba8	new
src/lib/crdt/worker/idb.ts	-	c217609aed50e2c5f7980d6866c0f2897e70679c	new
src/lib/crdt/worker/protocol.ts	-	3f2c8f9d11144aedf5ec55832d8c6cbe2b69be12	new
src/lib/sync/identities.ts	-	ec49d4b4daa8cc33056ddbb2677cb2317ac73dfa	new
src/lib/sync/pending-store.ts	-	619b76bfc0504c5893c9761920116accd0f7b7a9	new
src/lib/sync/protocol.ts	-	62dba37a01aae68368aa7805319e0db8844c1f9e	new
src/lib/sync/snapshot-resync.ts	-	ddb9c5c96a7fe1fb176e346889e77badc21a6bc9	new
src/lib/sync/sync-session.ts	-	c1066a8b2b426d50d4244c4fc9d1a93de0428f90	new
src/lib/sync/transport.ts	-	3d414c3f67db6adc726be36434a0317e82c4d7f3	new
src/lib/sync/use-sync-session.ts	-	12dd4787264a621e5c4d6f4bc1955f8ded998084	new
src/lib/sync/worker-engine-port.ts	-	f0432034f8c0ebdf79d669d950211eec9bc577a7	new
src/lib/utils.ts	bd0c391ddd1088e9067844c48835bf4abcd61783	bd0c391ddd1088e9067844c48835bf4abcd61783	identical
src/middleware.ts	813dd08f480b54dfd2af5813e52d701d083dd10b	-	removed
src/proxy.ts	-	813dd08f480b54dfd2af5813e52d701d083dd10b	new
src/server/auth/actor-context.ts	-	a609b878ea73d03ee739259c0ca4999448e8a4ce	new
src/server/auth/authorization.ts	-	4b818a94b2e16c72c06aafc6d7d88c529c233631	new
src/server/db/client.ts	-	b9b2655c3fd32e5438b1081fc3f4b454cbb068dd	new
src/server/db/schema.ts	-	761f682785da1548f69f8dd1dec14b746faccc02	new
src/server/env.ts	-	1dd7db41e9c175638e088f0bfe889063dfe6a0e3	new
src/server/errors.ts	-	2e70e82e489df61f68b2ee93ccd1652e4f7077ae	new
src/server/repositories/audit.ts	-	adbe7c2b866c69633abc223c9c92dc99992d92bc	new
src/server/repositories/documents.ts	-	5fa6a84c92b41bfa275b3238ae413544fe0a49fa	new
src/server/repositories/organizations.ts	-	12a33a93930c8d9ab7d58e6b6ea44fc80a743d95	new
src/server/repositories/permissions.ts	-	368e9982a57d0b5abf2ce455924c88aac5cc541a	new
src/server/repositories/users.ts	-	078e2ef254b2ef54342d47521559bde1df1804d2	new
src/server/result.ts	-	cc81cb577966fec30330d7e7435313c2194fc61d	new
src/server/services/documents.ts	-	6b9502bc0d248f1f624ac3abef91ef4f66ecd1d0	new
src/server/services/permissions.ts	-	88fde4d33eae27f2daa21a1fd914ceeaa60eba30	new
src/store/use-bridge-status-store.ts	-	f3f1cd080605d42780f283efd1b6e3d451c0d8f3	new
src/store/use-editor-store.ts	326ad8494b69970e05d68299e2e4cd9af0cf75a3	326ad8494b69970e05d68299e2e4cd9af0cf75a3	identical
src/store/use-sync-status-store.ts	-	dac5c659820e91c081f07f2413fde0d02a9c44b7	new
